Trial,Species,Dosage Level,Tank,Standard length,Weight
Indoor,FHM,20 mg,9,55,3
Indoor,FHM,20 mg,9,60,3.84
Indoor,YEP,20 mg,9,59,3.91
Indoor,YEP,20 mg,9,60,3.86
Outdoor,BLG,28 mg/kg/d,4,141,68.13
Outdoor,BLG,28 mg/kg/d,4,127,51.58
Outdoor,BLG,28 mg/kg/d,4,149,81.14
Outdoor,BLG,28 mg/kg/d,4,105,21.42
Outdoor,BLG,28 mg/kg/d,4,105,25.15
Outdoor,BLG,28 mg/kg/d,4,107,33.44
Outdoor,BLG,28 mg/kg/d,4,105,23.39
Outdoor,BLG,28 mg/kg/d,4,113,30.16
Outdoor,BLG,28 mg/kg/d,4,100,21.24
Outdoor,BLG,28 mg/kg/d,4,95,17.28
Outdoor,BLG,28 mg/kg/d,4,77,8.05
Outdoor,BLG,28 mg/kg/d,4,122,45.87
Outdoor,BLG,28 mg/kg/d,4,104,21.77
Outdoor,BLG,28 mg/kg/d,4,97,16.61
Outdoor,BLG,28 mg/kg/d,4,104,21.09
Outdoor,BLG,28 mg/kg/d,4,101,18.12
Outdoor,BLG,28 mg/kg/d,4,112,30.49
Outdoor,BLG,28 mg/kg/d,4,91,13.81
Outdoor,CCP,28 mg/kg/d,4,330.2,1020.1
Outdoor,CCP,28 mg/kg/d,4,316,1087.5
Outdoor,CCP,28 mg/kg/d,4,339,1156.9
Outdoor,CCP,28 mg/kg/d,4,279,758.7
Outdoor,CCP,28 mg/kg/d,4,442,2320.1
Outdoor,CCP,28 mg/kg/d,4,330.2,909.1
Outdoor,CCP,28 mg/kg/d,4,406.4,2016.4
Outdoor,CCP,28 mg/kg/d,4,342.9,1120.4
Outdoor,CCP,28 mg/kg/d,4,444.5,2495.6
Outdoor,CCP,28 mg/kg/d,4,292.1,660.1
Outdoor,CCP,28 mg/kg/d,4,157,85.16
Outdoor,CCP,28 mg/kg/d,4,135,50.86
Outdoor,CCP,28 mg/kg/d,4,146,70.03
Outdoor,CCP,28 mg/kg/d,4,137,52.86
Outdoor,CCP,28 mg/kg/d,4,140,57
Outdoor,CCP,28 mg/kg/d,4,143,57.09
Outdoor,CCP,28 mg/kg/d,4,179,129.75
Outdoor,CCP,28 mg/kg/d,4,155,85.19
Outdoor,CCP,28 mg/kg/d,4,136,48.32
Outdoor,YEP,28 mg/kg/d,4,119,17.46
Outdoor,YEP,28 mg/kg/d,4,97,8.56
Outdoor,YEP,28 mg/kg/d,4,100,9.64
Outdoor,YEP,28 mg/kg/d,4,99,9.46
Outdoor,YEP,28 mg/kg/d,4,98,7.87
Outdoor,YEP,28 mg/kg/d,4,97,8.36
Outdoor,YEP,28 mg/kg/d,4,92,7.95
Outdoor,YEP,28 mg/kg/d,4,104,9.92
Outdoor,YEP,28 mg/kg/d,4,104,10.25
Outdoor,YEP,28 mg/kg/d,4,112,5.13
Outdoor,YEP,28 mg/kg/d,4,135,29.94
Outdoor,YEP,28 mg/kg/d,4,108,14.61
Outdoor,YEP,28 mg/kg/d,4,106,13.98
Outdoor,YEP,28 mg/kg/d,4,109,14.28
Outdoor,YEP,28 mg/kg/d,4,96,7.35
Outdoor,YEP,28 mg/kg/d,4,110,13.44
Outdoor,YEP,28 mg/kg/d,4,104,11.35
Outdoor,BLG,28 mg/kg/d,5,110,27
Outdoor,BLG,28 mg/kg/d,5,120,40.447
Outdoor,BLG,28 mg/kg/d,5,126,44.02
Outdoor,BLG,28 mg/kg/d,5,126,49.11
Outdoor,BLG,28 mg/kg/d,5,113,35.95
Outdoor,BLG,28 mg/kg/d,5,107,21.95
Outdoor,BLG,28 mg/kg/d,5,126,106.21
Outdoor,BLG,28 mg/kg/d,5,111,21.4
Outdoor,BLG,28 mg/kg/d,5,96,15.2
Outdoor,BLG,28 mg/kg/d,5,116,37.5
Outdoor,BLG,28 mg/kg/d,5,110,22.03
Outdoor,BLG,28 mg/kg/d,5,99,18.85
Outdoor,BLG,28 mg/kg/d,5,112,30.49
Outdoor,BLG,28 mg/kg/d,5,101,18.08
Outdoor,BLG,28 mg/kg/d,5,85,11.51
Outdoor,BLG,28 mg/kg/d,5,95,13.5
Outdoor,BLG,28 mg/kg/d,5,101,18.72
Outdoor,CCP,28 mg/kg/d,5,326,1140.6
Outdoor,CCP,28 mg/kg/d,5,284,797.1
Outdoor,CCP,28 mg/kg/d,5,419.1,2123.6
Outdoor,CCP,28 mg/kg/d,5,431.8,2443.2
Outdoor,CCP,28 mg/kg/d,5,355.6,1380.1
Outdoor,CCP,28 mg/kg/d,5,302.3,829
Outdoor,CCP,28 mg/kg/d,5,335.3,1052.4
Outdoor,CCP,28 mg/kg/d,5,317.5,897.6
Outdoor,CCP,28 mg/kg/d,5,401.3,1852.2
Outdoor,CCP,28 mg/kg/d,5,320,1004.5
Outdoor,CCP,28 mg/kg/d,5,146,62.39
Outdoor,CCP,28 mg/kg/d,5,173,114.6
Outdoor,CCP,28 mg/kg/d,5,148,64.15
Outdoor,CCP,28 mg/kg/d,5,146,64.03
Outdoor,CCP,28 mg/kg/d,5,136,47.29
Outdoor,CCP,28 mg/kg/d,5,130,40.77
Outdoor,CCP,28 mg/kg/d,5,132,43.57
Outdoor,CCP,28 mg/kg/d,5,136,50.3
Outdoor,CCP,28 mg/kg/d,5,147,70.6
Outdoor,YEP,28 mg/kg/d,5,136,26.77
Outdoor,YEP,28 mg/kg/d,5,107,12.52
Outdoor,YEP,28 mg/kg/d,5,97,10.91
